species	type
EV-A	CVA2
EV-A	CVA3
EV-A	CVA4
EV-A	CVA5
EV-A	CVA6
EV-A	CVA7
EV-A	CVA8
EV-A	CVA10
EV-A	CVA12
EV-A	CVA14
EV-A	CVA16
EV-A	EVA71
EV-A	EVA76
EV-A	EVA89
EV-A	EVA90
EV-A	EVA91
EV-A	EVA92
EV-A	EVA114
EV-A	EVA119
EV-A	EVA120
EV-A	EVA121
EV-B	CVA9
EV-B	CVB1
EV-B	CVB2
EV-B	CVB3
EV-B	CVB4
EV-B	CVB5
EV-B	CVB6
EV-B	E1
EV-B	E2
EV-B	E3
EV-B	E4
EV-B	E5
EV-B	E6
EV-B	E7
EV-B	E8
EV-B	E9
EV-B	E11
EV-B	E12
EV-B	E13
EV-B	E14
EV-B	E15
EV-B	E16
EV-B	E17
EV-B	E18
EV-B	E19
EV-B	E20
EV-B	E21
EV-B	E24
EV-B	E25
EV-B	E26
EV-B	E27
EV-B	E29
EV-B	E30
EV-B	E31
EV-B	E32
EV-B	E33
EV-B	EVB69
EV-B	EVB73
EV-B	EVB74
EV-B	EVB75
EV-B	EVB77
EV-B	EVB78
EV-B	EVB79
EV-B	EVB80
EV-B	EVB81
EV-B	EVB82
EV-B	EVB83
EV-B	EVB84
EV-B	EVB85
EV-B	EVB86
EV-B	EVB87
EV-B	EVB88
EV-B	EVB93
EV-B	EVB97
EV-B	EVB98
EV-B	EVB100
EV-B	EVB101
EV-B	EVB106
EV-B	EVB107
EV-B	EVB111
EV-B	EVB7
EV-C	VDPV2
EV-C	VDPV3
EV-C	PV1
EV-C	PV2
EV-C	PV3
EV-C	SABIN1
EV-C	SABIN2
EV-C	SABIN3
EV-C	CVA1
EV-C	CVA11
EV-C	CVA13
EV-C	CVA17
EV-C	CVA19
EV-C	CVA20
EV-C	CVA21
EV-C	CVA22
EV-C	CVA24
EV-C	EVC95
EV-C	EVC96
EV-C	EVC99
EV-C	EVC102
EV-C	EVC104
EV-C	EVC105
EV-C	EVC109
EV-C	EVC113
EV-C	EVC116
EV-C	EVC117
EV-C	EVC118
EV-D	EVD68
EV-D	EVD70
EV-D	EVD94
EV-D	EVD111
